
2000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;21;7062.260869565217;-6307.666666666667;9047.238095238095;3355.2944444449263
2;19;7407.047619047619;-5420.105263157895;8420.684210526315;3355.6444444449266
3;17;8992.176470588236;-8722.176470588236;11208.058823529413;3355.9555555560382
4;21;7707.695652173913;-5941.142857142857;8846.809523809523;3355.2555555560375
5;21;6139.0;-5592.428571428572;8421.238095238095;3355.1388888893707
6;24;6427.96;-5484.208333333333;8242.166666666666;3354.8666666671484
7;20;6471.666666666667;-5238.65;7924.7;3355.683333333816
8;20;6086.95;-5270.45;8149.35;3355.6444444449266
9;16;8807.0;-7981.9375;11083.25;3356.3055555560386
10;22;7203.217391304348;-6142.909090909091;9141.818181818182;3355.2555555560375
Total Average;20.1;7230.497466934599;-6210.167475322664;9048.531359682627;3355.504444444927

10000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;18;7439.315789473684;-6818.055555555556;9710.666666666666;3355.7222222227047
2;22;6463.695652173913;-5202.772727272727;8082.454545454545;3355.1388888893707
3;19;6886.619047619048;-5911.105263157895;8750.947368421053;3356.188888889372
4;17;6003.578947368421;-5114.0;7596.705882352941;3355.87777777826
5;19;6600.952380952381;-5549.526315789473;8504.157894736842;3355.7222222227047
6;25;5602.777777777777;-3730.52;6705.48;3354.43888888937
7;21;7057.869565217391;-6173.952380952381;8973.095238095239;3355.4500000004823
8;21;5715.04347826087;-4018.190476190476;7156.714285714285;3355.411111111593
9;19;6293.454545454545;-5962.789473684211;8396.842105263158;3355.52777777826
10;19;7500.2;-5572.8421052631575;8736.157894736842;3355.8000000004827
Total Average;20.0;6556.350718429804;-5405.375429786587;8261.322188144155;3355.52777777826

11000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;18;7515.952380952381;-5932.777777777777;8759.333333333334;3355.3333333338155
2;19;6592.714285714285;-5648.315789473684;8314.21052631579;3355.411111111593
3;17;7978.65;-6291.294117647059;9248.529411764706;3355.488888889371
4;19;7398.857142857143;-5798.631578947368;8941.684210526315;3355.7222222227047
5;19;8460.75;-6230.894736842105;9322.473684210527;3355.4500000004823
6;20;5966.619047619048;-5321.65;8265.75;3355.7222222227047
7;20;6503.0952380952385;-5843.5;8766.2;3355.994444444927
8;20;7610.545454545455;-6626.95;9265.65;3355.4500000004823
9;17;7163.526315789473;-6024.588235294118;8934.882352941177;3355.87777777826
10;19;7179.047619047619;-6016.8421052631575;8866.105263157895;3355.7611111115934
Total Average;18.8;7236.975748462064;-5973.5444341245275;8868.481878224973;3355.621111111593

12000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;19;8115.263157894737;-7231.105263157895;10203.21052631579;3355.9555555560382
2;21;7947.260869565217;-6244.285714285715;8859.285714285714;3355.87777777826
3;16;7688.117647058823;-7161.875;9694.6875;3356.0333333338162
4;19;6213.55;-5485.578947368421;8435.263157894737;3355.87777777826
5;21;7442.0;-6398.571428571428;9172.42857142857;3355.3333333338155
6;21;6444.260869565217;-5482.952380952381;8384.095238095239;3355.4500000004823
7;18;8039.0;-7583.055555555556;10167.444444444445;3356.0333333338162
8;19;6935.55;-5639.315789473684;8742.894736842105;3355.52777777826
9;23;6996.0;-6280.739130434783;9069.95652173913;3355.488888889371
10;17;9114.888888888889;-8567.64705882353;11434.470588235294;3356.0333333338162
Total Average;19.4;7493.5891432972885;-6607.51262686234;9416.373699928105;3355.7611111115934

13000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;19;7715.4;-6829.105263157895;9461.21052631579;3355.6444444449266
2;20;6430.476190476191;-5260.45;7852.9;3355.566666667149
3;21;6741.428571428572;-5738.523809523809;8556.47619047619;3355.8000000004827
4;20;7502.636363636364;-5821.45;8668.3;3355.605555556038
5;25;6301.2962962962965;-5128.12;7899.04;3354.944444444926
6;18;7391.8421052631575;-6820.944444444444;9847.666666666666;3356.2277777782606
7;20;7929.2;-6980.7;9857.1;3355.87777777826
8;24;6455.2307692307695;-4521.375;7325.5;3354.983333333815
9;19;7580.809523809524;-6222.789473684211;9183.105263157895;3355.8000000004827
10;21;7637.571428571428;-6603.714285714285;9422.857142857143;3355.7222222227047
Total Average;20.7;7168.589124871231;-5992.717227652463;8807.41557894737;3355.6172222227046

14000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;20;7578.523809523809;-6617.1;9550.2;3355.7611111115934
2;21;5662.047619047619;-4590.523809523809;7562.619047619048;3355.4500000004823
3;20;6346.5;-5620.5;8172.1;3355.8388888893714
4;19;6215.45;-4648.526315789473;7351.263157894737;3355.605555556038
5;22;6348.52;-4564.954545454545;7681.090909090909;3355.1388888893707
6;20;7262.7;-6427.15;9483.45;3355.87777777826
7;21;7445.739130434783;-5994.952380952381;8679.47619047619;3355.3722222227043
8;20;6716.826086956522;-5876.85;8530.65;3355.605555556038
9;16;8912.611111111111;-6905.9375;9573.625;3355.8388888893714
